,MAIN_ID,ID_name,ID_HD,ID_HIP,ID_HR,ID_M,ID_NGC,ID_IC,ID_Ocl,RA_d,DEC_d,PMRA,PMDEC,PLX_VALUE,Distance_distance,Distance_unit,OTYPE_otypes,SP_TYPE,FLUX_R,FLUX_G,FLUX_B,FLUX_V
400,HD 224951,,HD 224951,,,,,,,0.5186760987,-52.87528104551,4.649,-1.054,5.2353,192.064,pc,*,F3/5V,,9.977683,10.511,10.163
401,HD 224950,,HD 224950,,,,,,,0.50969139724,-47.9304075537,17.826,-6.267,3.3408,327.091,pc,*,F5,,10.459826,10.988,10.504
402,2MASX J00020592-2848021,,,,,,,,,0.52487657139,-28.80062919275,1.1,-1.5,,,,G,,16.285,19.56585,17.592,15.08
403,2MASX J00021378-2853430,,,,,,,,,0.55745,-28.895281,-0.6,-2.6,,,,G,,16.413,,17.569,15.17
404,2MASX J00020473-2856411,,,,,,,,,0.51963094456,-28.94465262652,3.7,-3.7,,,,G,,16.437,21.045033,17.932,15.63
405,2dFGRS TGS277Z199,,,,,,,,,0.5425788,-28.9006097,-0.5,11.7,,,,G,,17.111,,17.846,15.89
406,LEDA 3587912,,,,,,,,,0.56693161738,-29.43971082246,2.5,0.2,,,,EmG,,15.09,19.639074,16.55,12.72
407,HD 224953A,,HD 224953A,,,,,,,0.5363674559412,-68.2807642801947,216.425,-226.585,65.8083,15.177,pc,PM*,K5.0,,8.920758,10.81,9.57
408,HD 224989B,,HD 224989B,,,,,,,0.56714159328,-27.13489728391,98.846,6.951,10.474,95.475,pc,PM*,,,8.752354,9.59,8.94
409,HD 224989A,,HD 224989A,,,,,,,0.56804835009,-27.13515298469,92.226,8.546,9.0301,110.741,pc,PM*,,9.15,8.456539,9.06,8.55
410,TYC 6415-610-1,,,,,,,,,0.56723888972,-25.49576864026,22.496,-12.006,4.282,230.882,pc,*,,,11.367532,12.11,11.56
411,HD 224999,,HD 224999,HIP 195,,,,,,0.62577981579,47.42289044097,11.888,-28.654,8.8386,113.14,pc,*,F8,,7.507746,8.11,7.61
412,HD 236283,,HD 236283,,,,,,,0.66497841481,50.73175236697,0.376,-5.2,1.4758,677.599,pc,*,A0,,9.80772,9.86,9.8
413,HD 225021,,HD 225021,HIP 213,,,,,,0.66702746182,51.472399879,41.639,-5.303,4.1769,239.412,pc,*,G5,,7.446955,8.7,7.7
414,HD 236282,,HD 236282,HIP 196,,,,,,0.62700592248,51.82997652184,0.444,-1.072,0.9242,1082.017,pc,*,K5,,8.298363,10.56,8.92
415,HD 225011,,HD 225011,,,,,,,0.6476553,55.572295,28.8,-29.1,,,,**,K0,8.718,,9.071,8.43
416,HD 225012,,HD 225012,HIP 202,,,,,,0.6417448996,54.55213746135,2.788,-9.698,2.2685,440.82,pc,*,F0,,8.565803,8.9,8.61
417,HD 236281,,HD 236281,HIP 189,,,,,,0.60523830426,54.13513858712,-11.472,-8.616,3.1599,316.466,pc,Pu*,A3,,9.526061,9.79,9.58
418,HD 240478,,HD 240478,,,,,,,0.67909972086,57.80841346946,-3.222,-3.226,1.217,821.693,pc,*,B8,,9.393761,9.58,9.45
419,HD 240477,,HD 240477,,,,,,,0.65177797318,59.82776293754,-31.492,18.488,6.6105,151.274,pc,*,G0,,9.167914,9.82,9.28
420,HD 240480,,HD 240480,,,,,,,0.68729707577,59.95997760108,-3.63,-2.873,0.8278,1208.021,pc,*,K,8.817,8.943369,10.66,9.338
421,HD 240479,,HD 240479,,,,,,,0.68206929526,59.96093394804,-3.747,-1.714,0.8758,1141.813,pc,*,A0,,10.16998,10.39,10.26
422,HD 225009,,HD 225009,HIP 207,HR 9094,,,,,0.65038605722,66.09896334536,7.262,-0.137,4.0626,246.148,pc,*,G8III,,5.585219,6.912,5.842
423,HD 225010,,HD 225010,HIP 209,,,,,,0.66021391445,66.10037345352,8.254,-0.295,4.063,246.124,pc,*,A2V,,7.336741,7.42,7.34
424,HD 224992,,HD 224992,,,,,,,0.60278944248,67.1628348448,-11.309,-24.815,4.3566,229.537,pc,SB*,G0,,7.446735,8.47,7.65
425,V* V396 Cep,,,HIP 215,,,,,,0.67452202558,75.03621059232,3.122,6.944,1.4391,694.879,pc,LP?,M2,,8.139162,10.98,9.27
426,HD 225020,,HD 225020,HIP 221,,,,,,0.69399270064,80.28226837585,45.554,19.325,6.9016,144.894,pc,EB*,F2,,7.588666,8.11,7.69
427,HD 225019,,HD 225019,HIP 217,,,,,,0.67425598543,82.97320013932,-12.56,-1.784,2.7007,370.274,pc,*,A0,,7.27391,7.39,7.28
428,HD 224991,,HD 224991,,,,,,,0.61597431484,87.03271502497,18.454,8.299,6.8864,145.214,pc,*,F0,,7.779442,8.14,7.84
429,HD 225017,,HD 225017,HIP 204,,,,,,0.64522635737,-43.94792582714,41.964,-5.211,2.4762,403.845,pc,*,K3III,,8.139615,9.8,8.53
430,HD 225043,,HD 225043,HIP 222,,,,,,0.69446265558,-40.98323091526,-5.519,-21.108,2.9765,335.965,pc,*,K1III,,8.54381,9.99,8.85
431,HD 225006,,HD 225006,HIP 193,,,,,,0.6217326273,-39.21258703567,29.466,-36.159,3.8281,261.226,pc,*,G8/K0III,,9.205852,10.4,9.43
432,CD-38 15719,,,HIP 211,,,,,,0.66321560794,-37.94771235402,10.596,-17.26,4.053,246.731,pc,*,G8,,9.289239,10.37,9.5
433,CD-34 16275,,,HIP 200,,,,,,0.63548760314,-33.99263422364,7.608,15.656,2.7587,362.49,pc,*,F0,,10.215187,10.628,10.25
434,2dFGRS TGS358Z123,,,,,,,,,0.64159118218,-30.73499629179,-0.4,1.9,,,,BiC,,15.034,19.236628,16.258,12.65
435,ESO 409-7,,,,,,,,,0.63474460324,-30.62162485925,1.9,-0.1,,,,G,,13.2,19.719328,14.5,9.77
436,CD-29 18938,,,HIP 212,,,,,,0.66350866427,-29.07524169103,15.597,1.828,3.5512,223.935,pc,SB*,F2V,,10.129822,10.59,10.25
437,HD 225030,,HD 225030,,,,,,,0.69253078536,-21.24001960644,1.465,-5.964,5.4842,179.856,pc,*,G2/3V,,10.225741,10.906,10.337
438,HD 225031,,HD 225031,,,,,,,0.68825416501,-21.88830856885,94.016,68.373,16.778,60.061,pc,PM*,G8/K0V,,9.090732,9.998,9.399
439,V* AU Cet,,HD 225016,,,,,,,0.66378994523,-19.44411503805,5.419,-13.701,0.8862,1128.41,pc,LP*,M1/3,9.263,8.262724,11.21,11.3
440,HD 225005,,HD 225005,HIP 203,,,,,,0.64228207474,-15.83125142809,20.748,7.303,2.0494,487.948,pc,*,K0III,,8.914089,10.16,9.2
441,HD 225015,,HD 225015,HIP 210,,,,,,0.6621411873747,-8.4879611561642,-3.415,-5.966,6.4591,151.545,pc,**,F8/G0V,,8.965019,9.749,9.376
442,HD 224997,,HD 224997,HIP 187,,,,,,0.60229018965,-6.05926740296,71.883,-35.219,7.6684,130.405,pc,PM*,F5V,,8.884155,9.41,8.91
443,HD 225038,,HD 225038,,,,,,,0.69934799075,-6.25833942629,42.851,-13.139,9.884,101.683,pc,*,G8V,,9.851027,10.675,10.055
444,HD 225037,,HD 225037,,,,,,,0.6957025207,-2.91671826755,-15.473,-27.925,5.7438,177.72,pc,*,A9V,,8.575427,8.92,8.6
445,HD 225029,,HD 225029,,,,,,,0.67563133756,-3.39089541056,-10.348,-4.512,1.5018,665.868,pc,*,K0III,,9.468966,10.78,9.72
446,HD 225014,,HD 225014,HIP 205,,,,,,0.64564216852,-5.1866489421,-23.293,-2.135,8.2158,121.717,pc,*,F0V,,8.447775,8.91,8.53
447,HD 225028,,HD 225028,HIP 223,,,,,,0.69655854,2.13015261,60.57,-92.06,23.46,,,**,F8/G0V,7.87,,9.04,8.6
448,HD 225028B,,HD 225028B,,,,,,,0.6966745794,2.12973044944,70.785,-90.451,23.3092,42.902,pc,PM*,,,8.972274,10.17,9.26
449,NGC  7811,,,,,,NGC 7811,,,0.61008436902,3.35192811058,-0.068,0.24,,104.7,Mpc,Sy1,,,16.429274,15.33,14.68
450,BD+03  4924,,,HIP 224,,,,,,0.69625741367,3.86041649248,2.33,4.73,2.0771,481.44,pc,*,K0,,8.749537,9.99,9.02
451,HD 225004,,HD 225004,HIP 192,,,,,,0.61982469267,8.39386130163,-2.753,-28.34,3.3161,301.559,pc,*,G5,,7.886728,9.18,8.17
